,percentile,age,survival_rate,death_rate
684,25-30%,54,0.9259184982356782,0.006869504694677064
685,25-30%,55,0.9190489935410011,0.007506474502021576
686,25-30%,56,0.9115425190389795,0.008173762863396772
687,25-30%,57,0.9033687561755828,0.008865326462988543
688,25-30%,58,0.8945034297125942,0.009573413064622116
689,25-30%,59,0.8849300166479721,0.010288525453917008
690,25-30%,60,0.8746414911940551,0.01099967767433141
691,25-30%,61,0.8636418135197237,0.011699468942098501
692,25-30%,62,0.8519423445776252,0.0123857307890477
693,25-30%,63,0.8395566137885775,0.013057628662296983
694,25-30%,64,0.8264989851262805,0.013715483179669863
695,25-30%,65,0.8127835019466106,0.014360756101829186
696,25-30%,66,0.7984227458447815,0.014996011309925783
697,25-30%,67,0.7834267345348557,0.015624858161972566
698,25-30%,68,0.7678018763728831,0.016251943633169175
699,25-30%,69,0.7515499327397139,0.016884723572131333
700,25-30%,70,0.7346652091675826,0.01753402921113678
701,25-30%,71,0.7171311799564458,0.01821213970425417
702,25-30%,72,0.6989190402521916,0.018932638897733445
703,25-30%,73,0.6799864013544582,0.019710427051444435
704,25-30%,74,0.6602759743030138,0.02056175877401467
705,25-30%,75,0.6397142155289991,0.0215042834292416
706,25-30%,76,0.6182099320997575,0.022556752719542383
707,25-30%,77,0.5956531793802151,0.023725935467338033
708,25-30%,78,0.5719272439128771,0.02499827396840837
709,25-30%,79,0.5469289699444687,0.026352917487051042
710,25-30%,80,0.5205760524574177,0.02776123442294215
711,25-30%,81,0.4928148180344755,0.02918519073811021
712,25-30%,82,0.4636296272963653,0.030575996973958852
713,25-30%,83,0.43305363032240646,0.03187332522350572
714,25-30%,84,0.40118030509890074,0.03300549820057519
715,25-30%,85,0.36817480689832555,0.03389147915333729
